artist,language,position,title,week,year
Nano,English,4,Hold On,33,2017
Magnus Carlson,Danish,5,Eternal Love,33,2017
Zara Larsson,English,6,Only You,33,2017
Mando Diao,English,7,Shake,33,2017
Axwell Λ Ingrosso,English,8,More Than You Know,33,2017
Magnus Uggla,Swedish,9,Världen Är Din,33,2017
Per Gessle med Lars Winnerbäck,Swedish,10,Småstadsprat,33,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",34,2017
Zara Larsson,English,2,Only You,34,2017
Miriam Bryant,English,3,Rocket,34,2017
Jill Johnson,English,4,Open Your Heart,34,2017
Magnus Carlson,Danish,5,Eternal Love,34,2017
Nano,English,6,Hold On,34,2017
Axwell Λ Ingrosso,English,7,More Than You Know,34,2017
Mando Diao,English,8,Shake,34,2017
Magnus Uggla,Swedish,9,Världen Är Din,34,2017
Per Gessle med Lars Winnerbäck,Swedish,10,Småstadsprat,34,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",35,2017
Miriam Bryant,English,2,Rocket,35,2017
Magnus Carlson,Danish,3,Eternal Love,35,2017
Jill Johnson,English,4,Open Your Heart,35,2017
Zara Larsson,English,5,Only You,35,2017
Nano,English,6,Hold On,35,2017
Axwell Λ Ingrosso,English,7,More Than You Know,35,2017
Mando Diao,English,8,Shake,35,2017
Magnus Uggla,Swedish,9,Världen Är Din,35,2017
Per Gessle med Lars Winnerbäck,Swedish,10,Småstadsprat,35,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",36,2017
Miriam Bryant,English,2,Rocket,36,2017
Nano,English,3,Hold On,36,2017
Zara Larsson,English,4,Only You,36,2017
Jill Johnson,English,5,Open Your Heart,36,2017
Axwell Λ Ingrosso,English,6,More Than You Know,36,2017
Magnus Carlson,Danish,7,Eternal Love,36,2017
Mando Diao,English,8,Shake,36,2017
Magnus Uggla,Swedish,9,Världen Är Din,36,2017
Per Gessle med Lars Winnerbäck,Swedish,10,Småstadsprat,36,2017
Jill Johnson,English,1,Open Your Heart,37,2017
Ted Gärdestad,Swedish,2,"Sol, Vind Och Vatten",37,2017
Zara Larsson,English,3,Only You,37,2017
Nano,English,4,Hold On,37,2017
Magnus Carlson,Danish,5,Eternal Love,37,2017
Miriam Bryant,English,6,Rocket,37,2017
Magnus Uggla,Swedish,7,Världen Är Din,37,2017
Axwell Λ Ingrosso,English,8,More Than You Know,37,2017
Per Gessle med Lars Winnerbäck,Swedish,9,Småstadsprat,37,2017
Mando Diao,English,10,Shake,37,2017
Kamferdrops,Swedish,1,Jag Trodde Änglarna Fanns,38,2017
Ted Gärdestad,Swedish,2,"Sol, Vind Och Vatten",38,2017
Jill Johnson,English,3,Open Your Heart,38,2017
Zara Larsson,English,4,Only You,38,2017
Nano,English,5,Hold On,38,2017
Miriam Bryant,English,6,Rocket,38,2017
Magnus Carlson,Danish,7,Eternal Love,38,2017
Mando Diao,English,8,Shake,38,2017
Magnus Uggla,Swedish,9,Världen Är Din,38,2017
Axwell Λ Ingrosso,English,10,More Than You Know,38,2017
Kamferdrops,Swedish,1,Jag Trodde Änglarna Fanns,39,2017
Ted Gärdestad,Swedish,2,"Sol, Vind Och Vatten",39,2017
Magnus Uggla,Swedish,3,Världen Är Din,39,2017
Jill Johnson,English,4,Open Your Heart,39,2017
Miriam Bryant,English,5,Rocket,39,2017
Magnus Carlson,Danish,6,Eternal Love,39,2017
Nano,English,7,Hold On,39,2017
Mando Diao,English,8,Shake,39,2017
Zara Larsson,English,9,Only You,39,2017
Avicii feat. Sandro Cavazza,English,10,Without You,39,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",40,2017
Kamferdrops,Swedish,2,Jag Trodde Änglarna Fanns,40,2017
Jill Johnson,English,3,Open Your Heart,40,2017
Magnus Carlson,Danish,4,Eternal Love,40,2017
Miriam Bryant,English,5,Rocket,40,2017
Magnus Uggla,Swedish,6,Världen Är Din,40,2017
Nano,English,7,Hold On,40,2017
Mando Diao,English,8,Shake,40,2017
Zara Larsson,English,9,Only You,40,2017
Avicii feat. Sandro Cavazza,English,10,Without You,40,2017
Kamferdrops,Swedish,1,Jag Trodde Änglarna Fanns,41,2017
Jill Johnson,English,2,Open Your Heart,41,2017
Ted Gärdestad,Swedish,3,"Sol, Vind Och Vatten",41,2017
Miriam Bryant,English,4,Rocket,41,2017
Zara Larsson,English,5,Only You,41,2017
Magnus Carlson,Danish,6,Eternal Love,41,2017
Nano,English,7,Hold On,41,2017
Mando Diao,English,8,Shake,41,2017
Avicii feat. Sandro Cavazza,English,9,Without You,41,2017
Magnus Uggla,Swedish,10,Världen Är Din,41,2017
Kamferdrops,Swedish,1,Jag Trodde Änglarna Fanns,42,2017
Ted Gärdestad,Swedish,2,"Sol, Vind Och Vatten",42,2017
Jill Johnson,English,3,Open Your Heart,42,2017
Zara Larsson,English,4,Only You,42,2017
Nano,English,5,Hold On,42,2017
Miriam Bryant,English,6,Rocket,42,2017
Magnus Carlson,Danish,7,Eternal Love,42,2017
Avicii feat. Sandro Cavazza,English,8,Without You,42,2017
Magnus Uggla,Swedish,9,Världen Är Din,42,2017
Mando Diao,English,10,Shake,42,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",43,2017
Kamferdrops,Swedish,2,Jag Trodde Änglarna Fanns,43,2017
Zara Larsson,English,3,Only You,43,2017
Jill Johnson,English,4,Open Your Heart,43,2017
Nano,English,5,Hold On,43,2017
Magnus Carlson,Danish,6,Eternal Love,43,2017
Miriam Bryant,English,7,Rocket,43,2017
Avicii feat. Sandro Cavazza,English,8,Without You,43,2017
Mando Diao,English,9,Shake,43,2017
Magnus Uggla,Swedish,10,Världen Är Din,43,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",44,2017
Kamferdrops,Swedish,2,Jag Trodde Änglarna Fanns,44,2017
Jill Johnson,English,3,Open Your Heart,44,2017
Zara Larsson,English,4,Only You,44,2017
Nano,English,5,Hold On,44,2017
Magnus Carlson,Danish,6,Eternal Love,44,2017
Mando Diao,English,7,Shake,44,2017
Miriam Bryant,English,8,Rocket,44,2017
Avicii feat. Sandro Cavazza,English,9,Without You,44,2017
Magnus Uggla,Swedish,10,Världen Är Din,44,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",45,2017
Kamferdrops,Swedish,2,Jag Trodde Änglarna Fanns,45,2017
Zara Larsson,English,3,Only You,45,2017
Magnus Carlson,Danish,4,Eternal Love,45,2017
Nano,English,5,Hold On,45,2017
Sabina Ddumba,Swedish,6,Vågorna,45,2017
