artist,country,title,weekcount,year,language
"Elastinen, Jenni Vartiainen",Finland,Epäröimättä Hetkeekään,12,2020,Finnish
Mikael Gabriel,Finland,Oli Aikoi,12,2020,Finnish
Victor Leksell,Norway,SVAG,39,2020,Swedish
THE WEEKND,Norway,BLINDING LIGHTS,33,2020,English
Jason Derulo,Norway,SAVAGE LOVE (LAXED - SIREN BEAT),18,2020,English
SAINt JHN,Norway,ROSES - IMANBEK REMIX,18,2020,English
DaBaby,Norway,ROCKSTAR,17,2020,English
24kGoldn,Norway,MOOD,15,2020,English
Tones And I,Norway,DANCE MONKEY,15,2020,English
Dagny,Norway,SOMEBODY,14,2020,English
Gunna,Norway,LEMONADE,12,2020,English
Tate McRae,Norway,YOU BROKE ME FIRST,12,2020,English
Victor Leksell,Sweden,Svag,47,2020,Swedish
Darin,Sweden,En Säng Av Rosor,43,2020,Swedish
Miss Li,Sweden,Komplicerad,38,2020,Swedish
Miss Li,Sweden,Lev Nu Dö Sen,35,2020,Swedish
Laleh,Sweden,Det Kommer Bli Bra,32,2020,Swedish
Smith & Thell,Sweden,Goliath,29,2020,English
Miriam Bryant,Sweden,Nån Av Oss,18,2020,Swedish
Jubël,Sweden,Someone,17,2020,English
Agnes,Sweden,Fingers Crossed,16,2020,English
Carola & Zara Larsson,Sweden,Säg Mig Var Du Står,16,2020,Swedish
THE WEEKND,Denmark,SAVE YOUR TEARS,28,2021,English
KIDD,Denmark,BUONGIORNO,23,2021,Danish
"BENNY JAMZ, GILLI, KESI FEAT. B.O.C",Denmark,IBIZA,22,2021,Norwegian
ED SHEERAN,Denmark,BAD HABITS,22,2021,English
RH FEAT. BRANCO,Denmark,MCQUEEN,20,2021,Danish
THE KID LAROI & JUSTIN BIEBER,Denmark,STAY,20,2021,English
TOBIAS RAHIM FEAT. ANDREAS ODBJERG,Denmark,STOR MAND,17,2021,Danish
ARTIGEARDIT X KESI,Denmark,ER HER,16,2021,Danish
JUSTIN BIEBER FEAT. DANIEL CAESAR & GI..,Denmark,PEACHES,15,2021,German
OLIVIA RODRIGO,Denmark,DRIVERS LICENSE,14,2021,English
Portion Boys,Finland,Vauhti Kiihtyy (Feat. Matti Ja Teppo),28,2021,Finnish
Blind Channel,Finland,Dark Side,22,2021,English
"The Kid LAROI, Justin Bieber",Finland,Stay,22,2021,English
Ed Sheeran,Finland,Bad Habits,21,2021,English
Haloo Helsinki!,Finland,Piilotan Mun Kyyneleet,17,2021,Finnish
Måneskin,Finland,I Wanna Be Your Slave,16,2021,English
"Cledos, ibe, Averagekidluke, A36",Finland,Samma Gamla Vanliga - Remix,15,2021,Swedish
Masked Wolf,Finland,Astronaut In The Ocean,15,2021,English
Måneskin,Finland,Beggin',15,2021,English
Ed Sheeran,Finland,Shivers,14,2021,English
Maria Mena,Norway,DEN FINESTE CHEVY'N,27,2021,Norwegian
Chris Holsten,Norway,SMILET I DITT EGET SPEIL,22,2021,Norwegian
Ed Sheeran,Norway,BAD HABITS,20,2021,English
Justin Bieber,Norway,STAY,19,2021,English
THE WEEKND,Norway,SAVE YOUR TEARS,18,2021,English
Olivia Rodrigo,Norway,GOOD 4 U,15,2021,English
Gabry Ponte,Norway,THUNDER,14,2021,English
Olivia Rodrigo,Norway,DRIVERS LICENSE,13,2021,English
Glass Animals,Norway,HEAT WAVES,12,2021,English
Lil Nas X,Norway,INDUSTRY BABY,12,2021,English
Miriam Bryant & Victor Leksell,Sweden,tystnar i luren,38,2021,Swedish
Molly Sandén,Sweden,Nån Annan Nu,30,2021,Swedish
Newkid,Sweden,Starkare,29,2021,Swedish
Hanna Ferm,Sweden,För Evigt,28,2021,Swedish
Clara Klingenström,Sweden,Behöver Inte Dig Idag,25,2021,Swedish
Veronica Maggio,Sweden,SE MIG,25,2021,Swedish
Myra Granberg,Sweden,Lose My Mind,24,2021,Swedish
Newkid,Sweden,Du Måste Finnas,24,2021,Swedish
Miss Li,Sweden,Instruktionsboken,22,2021,Swedish
Albin Lee Meldau,Sweden,Josefin,21,2021,Swedish
