position,artist,title,year,week,language
9,Magnus Uggla,Världen Är Din,2017,45,Swedish
10,Mando Diao,Shake,2017,45,English
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,46,Swedish
2,Kamferdrops,Jag Trodde Änglarna Fanns,2017,46,Swedish
3,Magnus Carlson,Eternal Love,2017,46,Danish
4,Nano,Hold On,2017,46,English
5,Miriam Bryant,Rocket,2017,46,English
6,Zara Larsson,Only You,2017,46,English
7,Avicii feat. Sandro Cavazza,Without You,2017,46,English
8,Mando Diao,Shake,2017,46,English
9,Uno Svenningsson,Du Kommer Ångra Det Här,2017,46,Swedish
10,Magnus Uggla,Världen Är Din,2017,46,Swedish
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,47,Swedish
2,Kamferdrops,Jag Trodde Änglarna Fanns,2017,47,Swedish
3,Darin,Tvillingen,2017,47,Swedish
4,Magnus Carlson,Eternal Love,2017,47,Danish
5,Nano,Hold On,2017,47,English
6,Zara Larsson,Only You,2017,47,English
7,Avicii feat. Sandro Cavazza,Without You,2017,47,English
8,Miriam Bryant,Rocket,2017,47,English
9,Mando Diao,Shake,2017,47,English
10,Uno Svenningsson,Du Kommer Ångra Det Här,2017,47,Swedish
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,48,Swedish
2,Darin,Tvillingen,2017,48,Swedish
3,Kamferdrops,Jag Trodde Änglarna Fanns,2017,48,Swedish
4,Miriam Bryant,Rocket,2017,48,English
5,Magnus Carlson,Eternal Love,2017,48,Danish
6,Zara Larsson,Only You,2017,48,English
7,Nano,Hold On,2017,48,English
8,Avicii feat. Sandro Cavazza,Without You,2017,48,English
9,Mando Diao,Shake,2017,48,English
10,Uno Svenningsson,Du Kommer Ångra Det Här,2017,48,Swedish
1,Zara Larsson,Only You,2017,49,English
2,Ted Gärdestad,"Sol, Vind Och Vatten",2017,49,Swedish
3,Darin,Tvillingen,2017,49,Swedish
4,Kamferdrops,Jag Trodde Änglarna Fanns,2017,49,Swedish
5,Magnus Carlson,Eternal Love,2017,49,Danish
6,Nano,Hold On,2017,49,English
7,Avicii feat. Sandro Cavazza,Without You,2017,49,English
8,Miriam Bryant,Rocket,2017,49,English
9,Mando Diao,Shake,2017,49,English
10,Europe,Walk The Earth,2017,49,English
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,50,Swedish
2,Darin,Tvillingen,2017,50,Swedish
3,Kamferdrops,Jag Trodde Änglarna Fanns,2017,50,Swedish
4,Zara Larsson,Only You,2017,50,English
5,Nano,Hold On,2017,50,English
6,Magnus Carlson,Eternal Love,2017,50,Danish
7,Avicii feat. Sandro Cavazza,Without You,2017,50,English
8,Mando Diao,Shake,2017,50,English
9,Miriam Bryant,Rocket,2017,50,English
10,Europe,Walk The Earth,2017,50,English
1,Ted Gärdestad,"Sol, Vind Och Vatten",2017,51,Swedish
2,Darin,Tvillingen,2017,51,Swedish
3,Kamferdrops,Jag Trodde Änglarna Fanns,2017,51,Swedish
4,Zara Larsson,Only You,2017,51,English
5,Nano,Hold On,2017,51,English
